,레시피일련번호,레시피제목,요리명,등록자ID,등록자명,조회수,추천수,스크랩수,요리방법,요리상황,요리재료별명,요리종류,요리소개,요리재료들,요리인분,요리난이도,요리시간,최초등록일,ingre1
0,6929671,단호박 요리 / 단호박 찹쌀부꾸미,단호박찹쌀부꾸미,62929808,요알남Mingstar,3259,0,72,굽기,일상,채소류,밑반찬,단호박은 서양계 호박의 한 품종으로 당도가 높고 밤 맛이 난다 하여 밤호박이라고도 합니다. 풍부한 당질과 영양분에 비해 열량은 낮고  식이섬유가 풍부하여 소화를 돕습니다. 흔히 알고 있는 색깔이 아니라 주황색의 단호박을 구입하였습니다. 02:07초 부터 보세요.,"{재료: [단호박 1/4개, 찹쌀가루 4Ts, 식용유 4Ts]}",1인분,아무나,30분이내,2.02E+13," 단호박, 찹쌀가루, 식용유"
1,6929678,달래양념장 넣어 더 맛있는 만드는 도토리묵무침! : 달래도토리묵무침,달래도토리묵무침,gdubu33,만개의레시피,17425,0,771,무침,일상,기타,밑반찬,향긋한 달래의 향이 가득!  봄에는 역시 봄 달래양념장을 넣어 도토리묵을  더 맛있게 무쳐 먹어봐요~!  세상의 모든 레시피 만개의레시피 ,[필수재료] 도토리묵 1모| 달래 30g| 김가루 약간| 통깨 약간 [양념재료] 간장 3숟가락| 고춧가루 1숟가락| 설탕 1숟가락| 다진 마늘 1숟가락| 참기름 1숟가락| 통깨 1/2숟가락,2인분,아무나,30분이내,2.02E+13," 도토리묵, 달래, 김, 통깨, 간장, 고춧가루, 설탕, 다진마늘, 참기름, 통깨"
2,6929682,나물반찬 한 가지...시금치 쌈장무침  시금치무침 ,시금치쌈장무침,0807twins,배고픈엄마,2004,0,13,무침,일상,채소류,밑반찬,시금치를 사와 데쳤는데 맛이 없다면... 저는 김밥에 넣어 말아 버립니다. 그런데 문제는 시금치무침이 있으니 김밥을 말아 볼까? 하고 재료 준비를 하다 보면 적어도 세끼 이상을 김밥으로 먹을 만큼 재료 준비를 많이 한다는 점~ 그래서 식구들이 질려 하지요. 시금치무침은 저희 식구들이 그리 반가워하지 않는 반찬 중 하나입니다. 맛없는 시금치는 국간장 양념 대신 쌈장에 조물조물 무쳐 평소 먹던 시금치무침 맛을 좀 달리 해주었습니다.,[재료] 데친 시금치 1줌| 쌈장 1큰술| 참기름 1큰술| 다진마늘 1/2큰술| 갈은깨 1큰술,4인분,초급,15분이내,2.02E+13," 시금치, 쌈장, 참기름, 다진마늘, 깨"
3,6929683,간단한 점심 한끼♥한재미나리 무침♥쉬운 나물반찬#7,한재미나리무침,47282064,자유부인식당,2591,0,56,무침,초스피드,채소류,밑반찬,봄미나리 철이네요. 연한 한재미나리를 송송 썰어 최소한의 양념으로 무치면 미나리 향이 입에서 춤을 추지요^^ 양푼에 밥넣고 참기름 한방울 쓱쓱  맛있게 비벼도 드시고  고기요리와도 최고 궁합입니다~,[재료] 미나리 쫑쫑썰어 1컵 [양념] 다진마늘 1티스푼| 다진파 1/2큰술| 고춧가루 1/2큰술| 조선간장 1/2큰술| 매실액 1/2큰술| 참기름 1티스푼| 깨소금 2큰술,2인분,아무나,10분이내,2.02E+13," 미나리,  다진마늘,  대파, 고춧가루, 간장, 매실액, 참기름, 깨소금"
4,6929690,대용량 반찬 메추리알카레조림 만드는 법(+메추리알 쉽게 까는 법),메추리알카레조림,qkrfp458,레몬콩,1897,0,105,조림,일상,달걀/유제품,메인반찬,집에 메추리알을 좀 많이 사뒀는데 늘 조림이나 그런것만 해먹으니까 좀 색다르게 먹고 싶었어요! 그러다가 달걀카레가 떠올라서 응용해서 만들어보면 좋겠다 싶어서 만들어본 대용량 반찬 메추리알카레조림입니다!,[재료] 메추리알 48개| 양파 1/2개| 대파 작은것 1개| 카레가루 3.5T| 물 600ml| 소금 1t,2인분,아무나,60분이내,2.02E+13," 메추리알, 양파, 대파, 카레가루, 물, 소금"
5,6929692,★녹차크림치즈빵★,녹차크림치즈빵,29836423,예수님의향기나눔,415,0,9,굽기,간식,밀가루,빵,비만.당뇨있는 분에게 당화지수가 다른 밀보다 낮아서 좋은 세몰리나듀럼밀! 다른 밀 섞지않고 전량 듀럼밀을 사용해서 만들어보았어요^^ 신장성이 좋고 가벼워서 반죽할때 기분 좋아요 결과물도 좋고 맛도 있답니다*^^*♡ 건무화과발효종 만드는 방법은  https://band.us/@homebakingxhandmade 에 있습니다,[재료] 건무화과발효종 300g| 세몰리나듀럼밀 300g| 우유 63ml| 생크림 25ml| 계란 50g| 소금 3~4g| 원당 45g| 무염버터 45g| 검정깨 5g| 녹차가루 5g [★토핑★] 계란흰자35g| 아몬드가루30g| 슈가파우더30g [★충전물] 크림치즈400g| 슈가파우더45g| 레몬즙 약간,6인분이상,중급,2시간이상,2.02E+13," 건무화과발효종, 세몰리나듀럼밀, 우유,  생크림, 달걀, 소금, 원당, 무염버터, 검은깨, 녹차, 달걀, 아몬드가루, 슈가파우더, 크림치즈, 레몬즙"
6,6929699,봄향기 가득한 달래 굴전,달래굴전,55225306,노루네,556,0,6,부침,영양식,해물류,기타,생굴 못 먹는 분은 달래전 부쳐 봄향기 느껴 보세요,[재료] 굴1공기| 달래1팩| 홍고추1개| 겨란2개| 밀가루2스픈| 소금,2인분,아무나,30분이내,2.02E+13," 굴, 달래, 고추, 달걀, 밀가루, 소금"
7,6929707,콩나물어묵잡채,콩나물어묵잡채,28613027,마미집밥,44615,0,2088,볶음,초스피드,채소류,메인반찬,초간단요리 콩나물의 아삭함과 어묵의 쫄깃함 저렴한 식재료의 요리입니다 (부재료는 냉장고 재료 사용하세요),[재료] 콩나물 500g| 어묵 6장| 당근 1/2개| 양파 1개| 쪽파 1/2줌| 참기름 1큰술| 통깨 1큰술| 후추 약간 [양념] 간장 2큰술| 다진마늘 1/2큰술| 굴소스 1/2큰술| 설탕 1큰술,6인분이상,아무나,30분이내,2.02E+13," 콩나물, 어묵, 당근, 양파, 쪽파, 참기름, 통깨, 후추, 간장, 다진마늘, 굴소스, 설탕"
8,6929708,초간단 쉬운요리 간단메뉴 간식 고구마 찹쌀 전,고구마찹쌀전,simple,집밥한끼,1218,0,46,부침,일상,채소류,기타,아이들 간식으로도 좋은 고구마 찹쌀전 이라네 ♬,[재료] 고구마 2~3개| 찹쌀가루 3스푼| 올리고당 3스푼| 견과류 약간| 버터 또는 식용유 약간,2인분,아무나,,2.02E+13," 고구마, 찹쌀가루, 올리고당, 견과류, 버터"
9,6929721,더덕고추장구이,더덕고추장구이,67120429,cookingkorea중식보감,2031,0,35,굽기,영양식,채소류,밑반찬,더덕은 사삼 이라고도 부릅니다 피로회복 불면증 호흡기 질환에 효과가 좋습니다 꿀을 넣어 환절기에 더 좋은 건강식단입니다 ,[재료] 더덕 500그램 [양념] 고추장 2큰술| 고추가루 1큰술| 진간장 1큰술| 설탕 1큰술| 맛술 1큰술| 참기름 1큰술| 식용유 2큰술| 볶음참깨 1큰술,3인분,아무나,30분이내,2.02E+13," 더덕, 고추장, 고춧가루, 진간장, 설탕, 맛술, 참기름, 식용유, 참깨"
10,6929725,(원팬)과일또띠아피자:식사도 되고 디저트도 되는,과일또띠아피자,89234500,재미마미,491,0,12,굽기,,과일류,빵,방학의 장기화가 되면서  메뉴의 다양화를 꾀하지   않을 수 없게 됐다.  피자도우 까지 만들면 좋겠지만 도우까진 아니어도 파이지라도 만들면 또 좋겠지만 그건 하고 싶은  마음 들 때 맘 잡고 하기로 하고ㅡ 우선은 또띠아를 주문해 가끔 피자를  해주는 걸로 아침메뉴의 스펙트럼을 넓혀보기로 했다. ,[재료] 또띠아 2장| 토마토소스| 머스터드소스| 모짜렐라치즈| 체다치즈 1장| 사과 1/4개| 흑 토마토 2~3개| 삶은달걀 1개| 발사믹드레싱| 루꼴라| 파마산치즈,1인분,초급,,2.02E+13," 또띠아, 토마토소스, 머스터드소스, 모짜렐라치즈, 체다치즈, 사과, 토마토, 달걀, 발사믹드레싱, 루꼴라, 파마산치즈"
11,6929726,꼬막전 만드는법. 향긋한 미나리와 꼬막으로 쫄깃한 색다른 꼬막 요리.,꼬막전,yji516,밥순이네,1191,0,12,부침,술안주,해물류,메인반찬,꼬막이 한창 제철인 지금 좀 색다른 요리가 없나 해서 술안주로도 좋고 반찬으로도 좋은 꼬막전을 만들었어요.,[재료] 꼬막 1kg| 미나리 10~15줄| 청| 홍고추 1개씩| 부침가루 500g| 물 700mm,4인분,초급,30분이내,2.02E+13," 꼬막, 미나리, 고추, 부침가루, 물"
12,6929728,루꼴라토마토달걀말이:그러나  냉이달걀말이를 추천합니다,루꼴라토마토달걀말이,89234500,재미마미,761,0,8,부침,일상,달걀/유제품,메인반찬,루꼴라를 넘 좋아해서 달걀말이에 넣었더니 루꼴라가 열에 약해서인지 맛과 향을 잃었더라구요. 반면에 노지냉이는 달걀말이에 넣었더니 그 맛과 향이 오히려 더 살아서 봄나물의 제맛을 느끼게 해주었어요.,[재료] 달걀 2개| 우유 2큰술| 루꼴라(or냉이)| 토마토| 소금,1인분,초급,15분이내,2.02E+13," 달걀, 우유, 루꼴라, 토마토, 소금"
13,6929745,단호박 요리 / 단호박 치즈구이,단호박치즈구이,62929808,요알남Mingstar,2661,0,18,굽기,일상,채소류,밑반찬,단호박은 서양계 호박의 한 품종으로 당도가 높고 밤 맛이 난다 하여 밤호박이라고도 합니다. 풍부한 당질과 영양분에 비해 열량은 낮고  식이섬유가 풍부하여 소화를 돕습니다. 흔히 알고 있는 색깔이 아니라 주황색의 단호박을 구입하였습니다. 03:05초 부터 보세요.,[재료] 단호박 1/4개| 올리브 오일 3Ts| 빵가루 2Ts| 슬라이스치즈 2장| 체다치즈 5g,1인분,아무나,,2.02E+13," 단호박, 올리브오일, 빵가루, 슬라이스치즈, 체다치즈"
14,6929748,랍스타 요리 시리즈 랍스타 갈릭 버터 구이,랍스타갈릭버터구이,ohmybk,손에물이마를날이없는남자,5975,0,47,굽기,일상,해물류,양식,갈릭 버터 소스로 더욱 맛있고 자숙 랍스타로 쉽게 랍스타 갈릭 버터 구이,[재료] 랍스타 1마리| 버터 2수저| 마늘 1수저| 올리고당 2수저| 레몬 수 1/2수저| 파슬리 1/2수저| 마요네즈 1/2수저| 피자치즈 1/2컵,2인분,초급,,2.02E+13," 랍스타, 버터, 마늘, 올리고당, 레몬, 파슬리, 마요네즈, 피자치즈"
15,6929754,랍스타 요리 시리즈 랍스타 라면,랍스타라면,ohmybk,손에물이마를날이없는남자,2080,0,18,끓이기,일상,해물류,면/만두,랍스타는 있는데 요리가 고민 될 땐 쉽게 랍스타 라면,[재료] 라면 2봉지| 떡국떡 1/2컵| 파 1/4대| 청양고추 1개| 마늘 4개| 고추가루 1수저| 후추가루 1/3수저| 랍스타 1/2마리| 쌈장 1/2수저,2인분,아무나,10분이내,2.02E+13," 라면, 떡국떡, 파, 청양고추, 마늘, 고춧가루, 후추, 랍스타, 쌈장"
